date,open,high,low,close,adjclose,volume
20100211,2575040.0,2600000.0,2441920.0,2463360.0,2296288.25,2
20100212,2536640.0,2538560.0,2430400.0,2442880.0,2277196.75,2
20100216,2389760.0,2429760.0,2348800.0,2356160.0,2196358.0,1
20100217,2324800.0,2359680.0,2313280.0,2320000.0,2162650.75,1
20100218,2317120.0,2328000.0,2257600.0,2264320.0,2110747.25,1
20100219,2284800.0,2303360.0,2240000.0,2270400.0,2116415.0,1
20100222,2245760.0,2309760.0,2244160.0,2284480.0,2129540.0,1
20100223,2289280.0,2401280.0,2288960.0,2376320.0,2215151.5,2
20100224,2335360.0,2345920.0,2273920.0,2302080.0,2145947.0,2
20100225,2374720.0,2419200.0,2286080.0,2286080.0,2131031.25,2
20100226,2304000.0,2326080.0,2265920.0,2273600.0,2119397.5,1
20100301,2247040.0,2248640.0,2166400.0,2173440.0,2026031.125,2
20100302,2153600.0,2169920.0,2117760.0,2156800.0,2010519.5,1
20100303,2149120.0,2173120.0,2120000.0,2156800.0,2010519.5,1
20100304,2144960.0,2174720.0,2122240.0,2129920.0,1985462.875,1
20100305,2076800.0,2090880.0,2024960.0,2035520.0,1897465.25,2
20100308,2022080.0,2025920.0,2006400.0,2018880.0,1881953.375,1
20100309,2036480.0,2036480.0,1952000.0,1984000.0,1849439.5,3
20100310,1966400.0,1969920.0,1923520.0,1936320.0,1804992.875,2
20100311,1948160.0,1958400.0,1916160.0,1917440.0,1787393.625,2
20100312,1893120.0,1932480.0,1893120.0,1914560.0,1784708.875,2
20100315,1927680.0,1964480.0,1912960.0,1926080.0,1795447.875,2
20100316,1909120.0,1924800.0,1882240.0,1888960.0,1760845.5,2
20100317,1882560.0,1888000.0,1848640.0,1880000.0,1752493.125,2
20100318,1869120.0,1881600.0,1849920.0,1857600.0,1731611.875,2
20100319,1891200.0,1907520.0,1836160.0,1891200.0,1762933.375,3
20100322,1908800.0,1916800.0,1814720.0,1838080.0,1713416.0,5
20100323,1828480.0,1850560.0,1795200.0,1801600.0,1679410.25,3
20100324,1810560.0,1836480.0,1808320.0,1820800.0,1697308.0,4
20100325,1781760.0,1838080.0,1760000.0,1835840.0,1711328.25,4
20100326,1811520.0,1855040.0,1789760.0,1824640.0,1700887.625,3
20100329,1799680.0,1814080.0,1784960.0,1800960.0,1678813.375,2
20100330,1785280.0,1814400.0,1768000.0,1783360.0,1662407.25,2
20100331,1802560.0,1816640.0,1777600.0,1802880.0,1680603.375,3
20100401,1786240.0,1847360.0,1751040.0,1806720.0,1684182.75,3
20100405,1798080.0,1808640.0,1745600.0,1756800.0,1637648.5,4
20100406,1770240.0,1777600.0,1727040.0,1742720.0,1624523.75,3
20100407,1755200.0,1781440.0,1731200.0,1751680.0,1632876.0,3
20100408,1769920.0,1794240.0,1735680.0,1745600.0,1627208.375,2
20100409,1739200.0,1752640.0,1709760.0,1712640.0,1596483.5,2
20100412,1707840.0,1717120.0,1694080.0,1707200.0,1591412.75,2
20100413,1712960.0,1722240.0,1678080.0,1680320.0,1566355.75,4
20100414,1654400.0,1660800.0,1620800.0,1621760.0,1511767.625,5
20100415,1621760.0,1621760.0,1595840.0,1601920.0,1493273.0,4
20100416,1616960.0,1686400.0,1600320.0,1652480.0,1540404.0,8
20100419,1674880.0,1718720.0,1646080.0,1659520.0,1546966.625,8
20100420,1632000.0,1665280.0,1622720.0,1637120.0,1526085.625,4
20100421,1601600.0,1632960.0,1591040.0,1604480.0,1495659.375,5
20100422,1652160.0,1677440.0,1574720.0,1579520.0,1472392.125,10
20100423,1581120.0,1595520.0,1555520.0,1560320.0,1454494.625,3
20100426,1556160.0,1576960.0,1546560.0,1570880.0,1464338.25,4
20100427,1587200.0,1680960.0,1568000.0,1667200.0,1554125.75,9
20100428,1640000.0,1703360.0,1640000.0,1664640.0,1551739.0,16
20100429,1641600.0,1641600.0,1569920.0,1578560.0,1471497.375,9
20100430,1581120.0,1675200.0,1573440.0,1672000.0,1558600.0,8
20100503,1651520.0,1652480.0,1577600.0,1600960.0,1492378.25,7
20100504,1660800.0,1777280.0,1660160.0,1745920.0,1627506.875,14
20100505,1794240.0,1828800.0,1737600.0,1769280.0,1649282.25,15
